#Insert size (bp)	insert size
361.0	4940.0
362.0	4741.0
363.0	4606.0
364.0	4552.0
365.0	4406.0
366.0	4314.0
367.0	4093.0
368.0	4147.0
369.0	4053.0
370.0	3746.0
371.0	3652.0
372.0	3609.0
373.0	3559.0
374.0	3375.0
375.0	3299.0
376.0	3228.0
377.0	3276.0
378.0	3072.0
379.0	2893.0
380.0	2848.0
381.0	2778.0
382.0	2676.0
383.0	2579.0
384.0	2410.0
385.0	2471.0
386.0	2276.0
387.0	2293.0
388.0	2086.0
