#Position (bp)	mapping quality
4124013.5	55.055540306000466
1.23720395E7	57.266979723474364
2.06200655E7	52.95284860959233
2.88680915E7	58.21900099267066
3.71161175E7	59.326675050335226
4.53641435E7	59.03251620001844
5.36121695E7	59.88422371994312
6.18601955E7	59.76626657321979
7.01082215E7	59.62359744477305
7.83562475E7	59.666885439672754
8.66042735E7	59.47125865345541
9.48522995E7	59.722903244366954
1.031003255E8	56.76830639414382
1.113483515E8	58.58438792403425
1.195963775E8	52.33158170107335
1.278444035E8	9.719529749793235
1.360924295E8	0.0
1.443404555E8	35.15764453007403
1.525884815E8	51.38921288691353
1.608365075E8	57.114041124956564
1.690845335E8	59.78655436227174
1.773325595E8	59.81520071911286
1.855805855E8	59.81296948009144
1.938286115E8	50.5891264775953
2.020766375E8	59.158280509584884
2.103246635E8	57.15343906254665
2.185726895E8	58.39534444363581
2.268207155E8	58.32701740008602
2.350687415E8	58.51735925034906
2.433167675E8	49.94263865922053
2.481986015E8	52.251390296943825
2.523226145E8	58.54547741105759
2.598128195E8	59.422798448285555
2.680608455E8	59.776365096705014
2.763088715E8	57.88299126166835
2.845568975E8	57.014388555726164
2.928049235E8	46.51498781268708
3.010529495E8	57.243776067735205
3.093009755E8	59.739608124518234
3.175490015E8	59.83045365569783
3.257970275E8	55.378103465356816
3.340450535E8	57.51172821754443
3.422930795E8	59.80194451363651
3.505411055E8	59.89587943210485
3.587891315E8	59.797827031714434
3.670371575E8	58.01056995281903
3.752851835E8	58.264868785736184
3.810815205E8	57.926020020618736
3.852055335E8	46.1069866574206
3.917812355E8	58.45825657706553
4.000292615E8	58.0488573831165
4.082772875E8	59.27548199616398
4.165253135E8	59.809611106112975
4.247733395E8	59.7305611613562
4.330213655E8	50.96680474364458
4.412693915E8	57.3918056537717
4.495174175E8	59.13505598590474
4.577654435E8	59.64622835185366
4.660134695E8	59.755651301527095
4.742614955E8	52.218362960245386
4.825095215E8	59.761707311866964
4.907575475E8	58.561361389665656
4.990055735E8	57.847765180070176
5.072535995E8	59.094582287103194
5.146090395E8	59.387923790059254
5.178906245E8	4.096705484305686
5.187832105E8	55.90431620692173
5.237496515E8	53.50132549832513
5.319976775E8	51.83641961920938
5.402457035E8	59.71310445286192
5.484937295E8	57.11596534131881
5.567417555E8	57.93151984165954
5.649897815E8	59.724046512361696
5.732378075E8	58.314938124621165
5.814858335E8	59.45688024952829
5.897338595E8	59.76552849181267
5.979818855E8	59.76039154944005
6.062299115E8	59.41478425264954
6.144779375E8	59.65895568764976
6.227259635E8	59.2299486317185
6.309739895E8	59.897862901089155
6.392220155E8	57.489888524770116
