#Read position (bp)	Clipping profile
0.0	9.200795149344575
1.0	1.804819201936866
2.0	1.7170967722223884
3.0	1.621186143869802
4.0	1.5265555245737619
5.0	1.408466648849455
6.0	1.3529438439443833
7.0	1.2932401049350137
8.0	1.2363922655291955
9.0	1.1788433156351177
10.0	1.1228123664312157
11.0	1.0812217204029262
12.0	1.039444540391522
13.0	0.9965481564814287
14.0	0.9558580193371419
15.0	0.9146918989255964
16.0	0.8778803821888347
17.0	0.843519536057823
18.0	0.8103679447139004
19.0	0.7803295412261008
20.0	0.7526710540745937
21.0	0.7299653657851006
22.0	0.7076970675249803
23.0	0.6867345071466636
24.0	0.666704616683921
25.0	0.6480190573408681
26.0	0.6344599664303152
27.0	0.6267606154720934
28.0	0.6133173042751981
29.0	0.6003628407581899
30.0	1.1876875993172857
31.0	1.1983457651800873
32.0	1.0878340284940307
33.0	1.017632928779717
34.0	0.9234461317193641
35.0	1.0233768890183907
36.0	0.9669471430230019
37.0	0.9519665345169879
38.0	0.8605970438223001
39.0	0.8388819153052097
40.0	0.8286161140275807
41.0	0.8033825686565662
42.0	0.7639081185056827
43.0	0.7551603179182292
44.0	0.7387260307851826
45.0	0.750496968340359
46.0	0.7247359820515715
47.0	0.7072403808766647
48.0	0.6803215974513025
49.0	0.6801993855313309
50.0	0.6691552872896709
51.0	0.6510807875464767
52.0	0.619048400101243
53.0	0.6042414611657152
54.0	0.5746275832946597
55.0	0.5702601152072473
56.0	0.5592031525529587
57.0	0.5587464659046432
58.0	0.5615316112387368
59.0	0.5539544722004867
60.0	0.5547970912276605
61.0	0.5639758496381723
62.0	0.5646576635074886
63.0	0.5684848262644994
64.0	0.5796382720135025
65.0	0.5791236955083582
66.0	0.5868938007360374
67.0	0.595307126595147
68.0	0.6050261903360603
69.0	0.6144943980307157
70.0	0.6239240124874854
71.0	0.6309608461953339
72.0	0.6444942082806294
73.0	0.6561557983284626
74.0	0.6642217850465997
75.0	0.6805467246723031
76.0	0.7005058608655884
77.0	0.7218736502417062
78.0	0.74281691400108
79.0	0.7664681366187757
80.0	0.7904859949963866
81.0	0.8195338387117834
82.0	0.8495336489616971
83.0	0.883090469303421
84.0	0.9158947215063712
85.0	0.9518185937717589
86.0	0.9928882310885898
87.0	1.0323176557952733
88.0	1.0726926148301592
89.0	1.1125337007409581
90.0	1.1513906590856684
91.0	1.2052732513805926
92.0	1.2567373341013388
93.0	1.3091083579124019
94.0	1.3629523569694402
95.0	1.412480345589581
96.0	1.5224582091515502
97.0	1.611351300415231
98.0	1.6989515182097368
99.0	1.776440307678157
100.0	1.786641786892643
