#Position (bp)	insert size
4124013.5	2267.306199299653
1.23720395E7	1733.5534246575342
2.06200655E7	167.14471380978372
2.88680915E7	939.4114650463389
3.71161175E7	167.29423623861467
4.53641435E7	2464.5349087830036
5.36121695E7	1026.6791352533428
6.18601955E7	1593.578547212805
7.01082215E7	1835.2946732664275
7.83562475E7	1464.22877041881
8.66042735E7	269.65994241917286
9.48522995E7	1825.3973180326443
1.031003255E8	166.44679455136216
1.113483515E8	167.96064848270396
1.195963775E8	477.9078772112383
1.278444035E8	162.09911764705882
1.360924295E8	0.0
1.443404555E8	167.4085029284119
1.525884815E8	440.70621615645297
1.608365075E8	167.83458425967098
1.690845335E8	167.70355096501808
1.773325595E8	166.99296949289933
1.855805855E8	167.66563360881543
1.938286115E8	166.14948063189786
2.020766375E8	555.2142527539419
2.103246635E8	167.7175300752154
2.185726895E8	166.98928748839117
2.268207155E8	210.12340770278269
2.350687415E8	166.97886214373742
2.433167675E8	166.09765182006183
2.481986015E8	169.0598230490018
2.523226145E8	1556.7958281755598
2.598128195E8	166.27696967111717
2.680608455E8	166.90915997910633
2.763088715E8	166.85682189737756
2.845568975E8	2565.8460907999884
2.928049235E8	1194.0233050360043
3.010529495E8	166.7563087966472
3.093009755E8	567.3871873855047
3.175490015E8	167.01093645110763
3.257970275E8	166.95941527775759
3.340450535E8	166.4027681749507
3.422930795E8	365.25625667214865
3.505411055E8	167.3569338110673
3.587891315E8	166.27248946004977
3.670371575E8	166.69731358437113
3.752851835E8	166.9035380148403
3.810815205E8	165.669236934472
3.852055335E8	1057.7304778085045
3.917812355E8	1146.374455808168
4.000292615E8	1137.2265542524115
4.082772875E8	333.7685816026182
4.165253135E8	166.84593026100742
4.247733395E8	165.5081219853742
4.330213655E8	849.6840731070496
4.412693915E8	303.374422169624
4.495174175E8	166.99507300049495
4.577654435E8	167.34081462172526
4.660134695E8	166.47421229184138
4.742614955E8	167.59365973425764
4.825095215E8	166.67883910887886
4.907575475E8	166.97163210099188
4.990055735E8	167.10388087178575
5.072535995E8	167.56009721037256
5.146090395E8	166.49958225080974
5.178906245E8	171.13504556752278
5.187832105E8	167.303650141152
5.237496515E8	167.92098580050134
5.319976775E8	167.15068622187056
5.402457035E8	501.13497472494794
5.484937295E8	166.94326114024827
5.567417555E8	1404.2336625036305
5.649897815E8	593.3815070422535
5.732378075E8	508.2734527484767
5.814858335E8	308.5517924741008
5.897338595E8	166.5345595860827
5.979818855E8	166.69054011370815
6.062299115E8	165.67992980657374
6.144779375E8	167.03274641246765
6.227259635E8	167.3079195017649
6.309739895E8	167.05370665758133
6.392220155E8	166.93653603880747
6.4728106E8	166.02816877127958
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	156.97373029772328
6.722141195E8	168.17741399368455
6.804621455E8	167.28249741673952
6.887101715E8	166.82612498892726
6.969581975E8	167.3451187617713
7.052062235E8	166.055126708018
7.134542495E8	163.15421239509362
7.217022755E8	164.1600160108381
7.299503015E8	166.00557018593886
7.381983275E8	162.6815784769396
7.464463535E8	254.88535774753873
7.546943795E8	269.59306264984883
7.62199406E8	166.23659323041448
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	154.15040906230334
7.876864835E8	242.18722937591556
7.959345095E8	578.254821864105
