#Position (bp)	Coverage
4124013.5	12.054799657518053
1.23720395E7	11.493709767646223
2.06200655E7	10.697606312104254
2.88680915E7	11.74181713297218
3.71161175E7	10.578672884881788
4.53641435E7	10.939428658445063
5.36121695E7	6.6967594428048605
6.18601955E7	3.597852383103545
7.01082215E7	2.5589665939462365
7.83562475E7	2.8937780991476023
8.66042735E7	4.119413178377469
9.48522995E7	3.685164668491588
1.031003255E8	2.4813922749516064
1.113483515E8	9.251153791222288
1.195963775E8	4.07921640887165
1.278444035E8	0.06837272336435408
1.360924295E8	0.0
1.443404555E8	3.7062132199874247
1.525884815E8	18.408884501576498
1.608365075E8	10.767388584856546
1.690845335E8	5.652061596314075
1.773325595E8	5.541940095727147
1.855805855E8	5.180338544034657
1.938286115E8	2.1038960109970555
2.020766375E8	9.907152814503737
2.103246635E8	6.022590011234203
2.185726895E8	3.925355715416028
2.268207155E8	9.659935359078645
2.350687415E8	6.23051891446511
2.433167675E8	4.209807534554328
2.481986015E8	12.224297030565266
2.523226145E8	4.6416679440744915
2.598128195E8	3.681674257573873
2.680608455E8	3.917735104132795
2.763088715E8	3.7821780629692485
2.845568975E8	2.316310957312695
2.928049235E8	2.926098923548495
3.010529495E8	3.0611619071035907
3.093009755E8	2.294882678594854
3.175490015E8	5.15261894179286
3.257970275E8	4.881453574467394
3.340450535E8	2.553835548045072
3.422930795E8	6.872383404223022
3.505411055E8	10.895974988439658
3.587891315E8	3.181908737921049
3.670371575E8	4.871797567078474
3.752851835E8	4.262852347943617
3.810815205E8	6.8758927695829275
3.852055335E8	14.332551355412534
3.917812355E8	10.484003566429108
4.000292615E8	6.062101768350391
4.082772875E8	2.086575745517776
4.165253135E8	4.251809826981631
4.247733395E8	2.8376492751114024
4.330213655E8	5.600023084311325
4.412693915E8	10.66459380705153
4.495174175E8	19.459630098159245
4.577654435E8	11.087435466377046
4.660134695E8	3.649394048951834
4.742614955E8	3.804868219377582
4.825095215E8	2.73362280865749
4.907575475E8	4.094345847115419
4.990055735E8	8.722388241744145
5.072535995E8	6.187806755216339
5.146090395E8	4.4493700461127546
5.178906245E8	5.5900952988556165
5.187832105E8	9.587999805324609
5.237496515E8	14.341369437972189
5.319976775E8	5.452651701146432
5.402457035E8	4.1159468944448045
5.484937295E8	5.454153636276122
5.567417555E8	4.73147623443476
5.649897815E8	10.29027090845737
5.732378075E8	26.30645623571022
5.814858335E8	3.497252191009097
5.897338595E8	3.5312324427687303
5.979818855E8	3.0107400243403695
6.062299115E8	1.9454557975447702
6.144779375E8	4.781403453383876
6.227259635E8	6.5693025215972884
6.309739895E8	9.214144208565783
6.392220155E8	11.59798005001439
6.4728106E8	5.696347411704328
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.014832276231912946
6.722141195E8	3.5453758268948232
6.804621455E8	4.995772564247494
6.887101715E8	3.7069424853898374
6.969581975E8	4.5902769947621405
7.052062235E8	2.87234303092643
7.134542495E8	0.8888024843762616
7.217022755E8	1.2340536996367373
7.299503015E8	2.6815389524717794
7.381983275E8	0.8211744240379456
7.464463535E8	3.4000209262191947
7.546943795E8	3.1686010689103066
7.62199406E8	6.587879936001439
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	0.05011138422696534
7.876864835E8	21.32325213329832
7.959345095E8	4.2644429103400014
8.041825355E8	4.44049218564539
8.124305615E8	3.631805234367593
8.206785875E8	3.7079303581244774
8.289266135E8	4.873052170301112
8.371746395E8	10.177055091727402
8.454226655E8	4.54600009747787
8.536706915E8	4.4652365305347
8.619187175E8	6.403890215670998
8.69333434E8	14.684050993959195
8.72724992E8	1.8004402381648812
8.72931433E8	5.069511727351508
8.731340445E8	1.8957536717340893
8.73326804E8	8.620439862327583
8.73441596E8	4.341886396431851
8.73480431E8	5.798255593477436
8.735866135E8	2.0710838493142756
8.73694888E8	2.91796794622648
8.74003757E8	0.0
8.784147695E8	4.607162974510507E-6
8.866627955E8	0.003178821211281342
8.949108215E8	2.3527876851988583
9.031588475E8	2.0336746028686137
9.114068735E8	6.473257601273323
9.196548995E8	10.267744548816893
9.279029255E8	4.321911812596129
9.361509515E8	6.330213556552804
9.443989775E8	9.332492162367092
9.526470035E8	10.714977135135122
9.608950295E8	12.688193271941675
9.691430555E8	3.7759239604724817
9.744875075E8	10.510592090223271
9.759320705E8	1.5233732219664116
9.788356445E8	24.97777715575958
9.856391075E8	3.3337067560165305
9.938871335E8	5.2627170428415235
1.0021351595E9	8.362005648381807
