#Position (bp)	insert size
4124013.5	864.5619959277574
1.23720395E7	4942.510902023731
2.06200655E7	1759.1833301985034
2.88680915E7	2026.2237690944949
3.71161175E7	1749.0372494432072
4.53641435E7	1210.9426452709827
5.36121695E7	1682.814856505909
6.18601955E7	1320.281296295032
7.01082215E7	8898.299860837853
7.83562475E7	2556.6678038017653
8.66042735E7	807.2302153981974
9.48522995E7	649.7659309481312
1.031003255E8	1166.4811131233362
1.113483515E8	469.82350741518684
1.195963775E8	1948.1633182620003
1.278444035E8	172.93164277839028
1.360924295E8	0.0
1.443404555E8	781.0314392483734
1.525884815E8	355.65608806651335
1.608365075E8	292.75917207496263
1.690845335E8	926.2630547801367
1.773325595E8	898.6154353854196
1.855805855E8	252.87153180902737
1.938286115E8	1826.7605722627736
2.020766375E8	387.75559138666387
2.103246635E8	187.639658692224
2.185726895E8	211.60577049426516
2.268207155E8	210.24422746628454
2.350687415E8	188.06185343638955
2.433167675E8	187.98883166517135
2.481986015E8	189.494730743162
2.523226145E8	1303.5975016674977
2.598128195E8	1071.3022091624064
2.680608455E8	3404.9139952010723
2.763088715E8	1316.022554439513
2.845568975E8	8146.537291264402
2.928049235E8	838.4640562991862
3.010529495E8	802.811867126695
3.093009755E8	943.3489973798193
3.175490015E8	552.2915492018743
3.257970275E8	601.2398466123544
3.340450535E8	383.78321563949123
3.422930795E8	209.5555956253325
3.505411055E8	197.96231375985977
3.587891315E8	352.7070728129102
3.670371575E8	186.97690354306906
3.752851835E8	187.21621823918562
3.810815205E8	183.44897546922894
3.852055335E8	586.1420287771853
3.917812355E8	324.32258215544806
4.000292615E8	558.9755733406704
4.082772875E8	1124.4784515430429
4.165253135E8	1341.8903384459081
4.247733395E8	1720.4797154808823
4.330213655E8	1168.1332655583115
4.412693915E8	1112.2779891954574
4.495174175E8	420.25515270975694
4.577654435E8	186.54961891171362
4.660134695E8	188.3495808044786
4.742614955E8	196.34513611392643
4.825095215E8	189.2138156120192
4.907575475E8	289.4439274192581
4.990055735E8	186.26953826944546
5.072535995E8	187.40058877440498
5.146090395E8	185.90700341200886
5.178906245E8	182.83061889250814
5.187832105E8	186.74675731169873
5.237496515E8	888.3449580241676
5.319976775E8	478.184301001719
5.402457035E8	1086.9530316223922
5.484937295E8	602.8134552997341
5.567417555E8	1191.656368110645
5.649897815E8	1732.472870821835
5.732378075E8	223.16758652205135
5.814858335E8	658.6813124911985
5.897338595E8	247.17473222979552
5.979818855E8	417.4459328190686
6.062299115E8	369.37788495499774
6.144779375E8	478.01948475251385
6.227259635E8	339.9822016572417
6.309739895E8	214.27916202932045
6.392220155E8	186.81890391380827
6.4728106E8	184.72795569945617
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	163.9186440677966
6.722141195E8	737.5036163980398
6.804621455E8	729.5516287796924
6.887101715E8	1354.6342650857787
6.969581975E8	188.7322843910109
7.052062235E8	188.90011463377076
7.134542495E8	186.2340502089734
7.217022755E8	186.499512408701
7.299503015E8	422.0199358974359
7.381983275E8	185.4837067209776
7.464463535E8	187.80128246788414
7.546943795E8	188.47706244284984
7.62199406E8	186.1516180429148
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	171.86906546726635
7.876864835E8	198.364039821512
7.959345095E8	605.5936382533988
8.041825355E8	187.85192045071295
8.124305615E8	829.3538471945074
8.206785875E8	518.9094238895733
8.289266135E8	226.46157914620323
8.371746395E8	212.1737420739205
8.454226655E8	286.44471140867125
8.536706915E8	217.16285127100483
8.619187175E8	241.78984818643718
8.69333434E8	185.7590906617441
8.72724992E8	185.68470982142858
8.72931433E8	196.44056603773586
8.731340445E8	187.32597904026474
8.73326804E8	187.80698529411765
8.73441596E8	176.23564593301435
8.73480431E8	187.84601924759406
8.735866135E8	186.3071672354949
8.73694888E8	171.62521588946458
8.74003757E8	0.0
8.784147695E8	19.0
8.866627955E8	163.67175572519085
8.949108215E8	188.72029971614626
9.031588475E8	187.1460153497128
9.114068735E8	218.05760059443026
9.196548995E8	298.7277013142174
9.279029255E8	387.49336729762155
9.361509515E8	213.62203925648035
9.443989775E8	205.40777285965115
9.526470035E8	186.72334562613096
9.608950295E8	186.65952682083474
9.691430555E8	202.59803182361813
9.744875075E8	186.5066700305907
9.759320705E8	190.1085798816568
9.788356445E8	263.7274460368078
9.856391075E8	1707.949584096375
9.938871335E8	873.8035554478336
1.0021351595E9	534.2868200689607
1.0103831855E9	537.9210176024495
1.0186312115E9	185.47568466854364
1.0268792375E9	333.3465819350763
1.0351272635E9	271.6174889737122
1.0433752895E9	203.48852531683826
1.0516233155E9	186.73999672545685
1.0598713415E9	189.63950531347163
1.065244947E9	183.7965207852136
1.067430919E9	184.9486582278481
1.0703053395E9	3509.7546721248377
1.0763673935E9	455.7794658720499
1.0846154195E9	520.6061750606759
1.0928634455E9	2007.8743031090742
1.1011114715E9	301.42972522275875
1.1093594975E9	318.93934335766664
1.1176075235E9	365.3657556981633
1.1258555495E9	200.64177518318428
1.1341035755E9	209.32636268054839
1.1423516015E9	184.8049553944188
1.149050177E9	183.95261284491093
1.151717535E9	185.08585858585857
1.15195075E9	140.4907201187825
1.152147445E9	162.86737400530504
1.1534636805E9	678.4843550899052
1.1588476535E9	540.216914459749
1.1670956795E9	235.61939641184924
1.1753437055E9	372.68271006865785
1.1835917315E9	188.6090250012043
1.1918397575E9	186.92327772222515
1.2000877835E9	259.1292911565791
1.2083358095E9	187.6182754777503
1.2165838355E9	188.38523460666318
1.2248318615E9	186.91031622602384
1.23076644E9	184.68580027947974
1.234890453E9	623.7443467589876
1.2413279135E9	249.67051696920382
1.2495759395E9	217.81241425714447
1.2578239655E9	371.2832368633547
1.2660719915E9	243.07425105536916
1.2743200175E9	220.3033653181212
1.2825680435E9	187.82161332164105
