#Insert size (bp)	insert size
360.0	26320.0
361.0	26169.0
362.0	25187.0
363.0	24886.0
364.0	23983.0
365.0	23753.0
366.0	23027.0
367.0	22474.0
368.0	21760.0
369.0	21594.0
370.0	20883.0
371.0	20403.0
372.0	19731.0
373.0	19108.0
374.0	18699.0
375.0	18716.0
376.0	17954.0
377.0	17388.0
378.0	17002.0
379.0	16584.0
380.0	16117.0
381.0	15814.0
382.0	15385.0
383.0	14931.0
384.0	14295.0
385.0	14176.0
386.0	13788.0
387.0	13305.0
388.0	13096.0
389.0	13052.0
390.0	12553.0
391.0	12287.0
392.0	11909.0
393.0	11771.0
394.0	11377.0
395.0	11008.0
396.0	10834.0
397.0	10342.0
398.0	10206.0
399.0	9901.0
400.0	9572.0
401.0	9330.0
402.0	9222.0
403.0	8682.0
404.0	8622.0
405.0	8514.0
406.0	8036.0
407.0	8169.0
408.0	7954.0
409.0	7627.0
410.0	7570.0
411.0	7196.0
412.0	7132.0
413.0	6725.0
414.0	6646.0
415.0	6514.0
416.0	6245.0
417.0	6040.0
418.0	6060.0
419.0	5846.0
420.0	5984.0
421.0	5671.0
422.0	5511.0
423.0	5364.0
424.0	5132.0
425.0	4942.0
426.0	4957.0
427.0	4759.0
428.0	4680.0
429.0	4494.0
430.0	4413.0
431.0	4442.0
432.0	4207.0
433.0	4067.0
434.0	3953.0
435.0	3955.0
436.0	3695.0
437.0	3661.0
438.0	3576.0
439.0	3369.0
440.0	3470.0
