#Coverage	Number of genomic locations
114.0	288486.0
115.0	286954.0
116.0	284669.0
117.0	282841.0
118.0	280713.0
119.0	278249.0
120.0	276454.0
121.0	274529.0
122.0	271485.0
123.0	270699.0
124.0	268018.0
125.0	265344.0
126.0	263400.0
127.0	262669.0
128.0	260958.0
129.0	259346.0
130.0	257559.0
131.0	255466.0
132.0	253992.0
133.0	252485.0
134.0	251795.0
135.0	249810.0
136.0	247846.0
137.0	247261.0
138.0	246371.0
139.0	244433.0
140.0	243210.0
141.0	240778.0
142.0	240549.0
143.0	238246.0
144.0	237293.0
145.0	236392.0
146.0	234730.0
147.0	233527.0
148.0	233012.0
149.0	231785.0
150.0	230073.0
151.0	228760.0
152.0	227792.0
153.0	227109.0
154.0	225209.0
155.0	224978.0
156.0	223499.0
157.0	221256.0
158.0	219913.0
159.0	218946.0
160.0	218188.0
161.0	216319.0
162.0	215280.0
163.0	213685.0
164.0	212808.0
165.0	211787.0
166.0	209998.0
167.0	209895.0
168.0	209455.0
169.0	208486.0
170.0	207088.0
171.0	206104.0
172.0	204708.0
173.0	204196.0
174.0	203851.0
175.0	202220.0
176.0	201547.0
177.0	200595.0
178.0	199323.0
179.0	198150.0
180.0	197958.0
181.0	197134.0
182.0	196522.0
183.0	195522.0
184.0	194600.0
185.0	192634.0
186.0	192169.0
187.0	191296.0
188.0	189636.0
189.0	189335.0
190.0	189082.0
191.0	187258.0
192.0	188454.0
193.0	185800.0
194.0	185170.0
195.0	183722.0
196.0	183694.0
197.0	182994.0
198.0	181799.0
199.0	180272.0
200.0	180238.0
201.0	179033.0
202.0	178688.0
203.0	177535.0
204.0	176502.0
205.0	175598.0
206.0	175604.0
207.0	174420.0
208.0	172651.0
209.0	172469.0
210.0	171049.0
211.0	169606.0
212.0	169881.0
213.0	168152.0
214.0	167078.0
215.0	166802.0
216.0	165745.0
217.0	164792.0
218.0	164485.0
219.0	163026.0
220.0	162232.0
221.0	162008.0
222.0	160981.0
223.0	159603.0
224.0	159535.0
225.0	158425.0
226.0	157555.0
227.0	156442.0
228.0	155786.0
229.0	155365.0
230.0	154280.0
231.0	153541.0
232.0	152755.0
233.0	152251.0
234.0	151455.0
235.0	150421.0
236.0	149600.0
237.0	148346.0
238.0	147767.0
239.0	146447.0
