#Read position (bp)	Clipping profile
0.0	4.905409088303172
1.0	2.1906294499379664
2.0	2.072279835601867
3.0	1.903771765876045
4.0	1.764673582506529
5.0	1.6160195134722923
6.0	1.5225781686427373
7.0	1.4329190621477532
8.0	1.3473968052789451
9.0	1.2659953178106798
10.0	1.18759406191459
11.0	1.130226587474997
12.0	1.0747455774005326
13.0	1.0218314791338
14.0	0.9728248756960474
15.0	0.9257707501812876
16.0	0.8869750900209117
17.0	0.8512786817695079
18.0	0.8171589819578684
19.0	0.7870161758437333
20.0	0.7578026375056909
21.0	0.7353165577761746
22.0	0.714517209082863
23.0	0.6940563914555233
24.0	0.6759635986346568
25.0	0.6583515199274704
26.0	0.6439224795680845
27.0	0.6292082267856172
28.0	0.6164870756540594
29.0	0.6031506443100977
30.0	0.8724698801716819
31.0	0.8561120590639213
32.0	0.7907882582463247
33.0	0.7659680068169323
34.0	0.7127128385012329
35.0	0.7580497651838504
36.0	0.7179990010963836
37.0	0.7035200274047668
38.0	0.6710752100420231
39.0	0.6585199391327914
40.0	0.6563372600849378
41.0	0.651172122345872
42.0	0.6269180641243176
43.0	0.622640724105763
44.0	0.6085409052080347
45.0	0.6109774825553672
46.0	0.6054255730734286
47.0	0.6064064668370821
48.0	0.5986896511882533
49.0	0.5962962365518323
50.0	0.5907367101209092
51.0	0.5930192558332246
52.0	0.582496863975154
53.0	0.5800602866278214
54.0	0.5735579511781669
55.0	0.5739413376103799
56.0	0.5729714461063706
57.0	0.575312388427566
58.0	0.5798080809836724
59.0	0.583615709148191
60.0	0.587623070641633
61.0	0.5960753450312856
62.0	0.6003958477607515
63.0	0.6081253583245542
64.0	0.6162704157718374
65.0	0.6250324460868543
66.0	0.634313275260473
67.0	0.6449313021446806
68.0	0.6561713798626116
69.0	0.6652321638433486
70.0	0.67616502461891
71.0	0.6901099655539563
72.0	0.705852506449313
73.0	0.7196704982346197
74.0	0.7342814990419656
75.0	0.7508788308789013
76.0	0.7707878428687068
77.0	0.7893901249438611
78.0	0.8107285843597328
79.0	0.8338087861100298
80.0	0.8575668963199353
81.0	0.8859468019080221
82.0	0.9173057808766611
83.0	0.9536707879833591
84.0	0.9923386526663308
85.0	1.0331951206908105
86.0	1.083394199808449
87.0	1.1359401455409373
88.0	1.1925907804483347
89.0	1.2507825780335688
90.0	1.3105908614588186
91.0	1.3929495455161196
92.0	1.479923254330282
93.0	1.5701087766328523
94.0	1.6626953305208285
95.0	1.7585876402680198
96.0	1.916681648076882
97.0	2.062240696840471
98.0	2.225326345217088
99.0	2.3458053199581514
100.0	2.3545038756982986
