#GC Content (%)	Sample
1.0	4.491567403027059E-6
2.0	3.261733471245841E-6
3.0	6.04222757788164E-6
4.0	5.240161970198236E-6
5.0	3.742972835855883E-6
6.0	1.8714864179279417E-6
7.0	1.8180153774157144E-6
8.0	1.122891850756765E-6
9.0	1.229833931781219E-6
10.0	1.4971891343423534E-6
11.0	1.3902470533178995E-6
12.0	2.192312661001303E-6
13.0	3.6895017953436564E-6
14.0	5.079748848661556E-6
15.0	9.090076887078575E-6
16.0	6.662491647823472E-5
17.0	3.475617633294748E-5
18.0	5.4914758606057024E-5
19.0	1.0303869506706124E-4
20.0	1.8784376531945309E-4
21.0	3.180992200072378E-4
22.0	5.235884286957259E-4
23.0	7.591818331925975E-4
24.0	0.0011141226001127598
25.0	0.0017540640129630912
26.0	0.0019407314153912754
27.0	0.0028968470907904053
28.0	0.0035934678065836965
29.0	0.004511779456340681
30.0	0.0055613090395146714
31.0	0.006767776126592047
32.0	0.008170642345470831
33.0	0.009777340170782226
34.0	0.011647757167899923
35.0	0.013726443867812743
36.0	0.01607061428386877
37.0	0.018776997528354628
38.0	0.021715338146582514
39.0	0.024754150849932884
40.0	0.027511438524986376
41.0	0.029721877868721325
42.0	0.03125280722962689
43.0	0.03212278105876082
44.0	0.032348375378681904
45.0	0.03193996357124952
46.0	0.03103165100606832
47.0	0.029797325506884076
48.0	0.028693362404468643
49.0	0.02760667044813865
50.0	0.026909835848183312
51.0	0.028810463983190412
52.0	0.023643610809534445
53.0	0.02601301955671224
54.0	0.026525646422102957
55.0	0.02730942493393118
56.0	0.028360291293117977
57.0	0.02922604091005144
58.0	0.029457089276104773
59.0	0.029251707009497314
60.0	0.028916229701323598
61.0	0.028143893992164996
62.0	0.027167887089695315
63.0	0.025751492697566943
64.0	0.02383220316942107
65.0	0.02139595562160299
66.0	0.01891265355813414
67.0	0.01655073075662806
68.0	0.014333554061788566
69.0	0.012205834417726033
70.0	0.010214840224253265
71.0	0.00848874156547807
72.0	0.00691744156898577
73.0	0.0054996034587635615
74.0	0.0043026007458568495
75.0	0.0033996352847268747
76.0	0.0026947265576541873
77.0	0.002119057335499552
78.0	0.0016641791938620375
79.0	0.0012752843162166117
80.0	0.00100440002498167
81.0	7.728704195637276E-4
82.0	5.935820207262309E-4
83.0	4.309765865285488E-4
84.0	3.0141625536742305E-4
85.0	2.0356425123004782E-4
86.0	1.3742057411642313E-4
87.0	9.614093084098396E-5
88.0	5.8176492077302875E-5
89.0	3.0852790375554923E-5
90.0	1.6469080477765888E-5
91.0	8.555366481956304E-6
92.0	5.507517172759371E-6
93.0	1.0426852899884246E-5
94.0	1.96773429084995E-5
95.0	2.160230036693967E-5
96.0	2.379461302794097E-5
97.0	2.112106100232963E-5
98.0	1.6629493599302564E-5
99.0	1.5506601748545798E-5
100.0	1.2191397236787733E-5
