#Position (bp)	mapping quality
4124013.5	55.39616867233807
1.23720395E7	57.2900661713334
2.06200655E7	52.808708999073886
2.88680915E7	58.29250251115646
3.71161175E7	59.285387261980134
4.53641435E7	59.10270966800671
5.36121695E7	59.88294241666785
6.18601955E7	59.77103535682008
7.01082215E7	59.63773335728181
7.83562475E7	59.65654848464827
8.66042735E7	59.554842864856894
9.48522995E7	59.68425986041147
1.031003255E8	57.31816387763315
1.113483515E8	58.63224884195414
1.195963775E8	52.77918628779976
1.278444035E8	11.071496967762528
1.360924295E8	0.0
1.443404555E8	36.645980137422484
1.525884815E8	51.27480198200494
1.608365075E8	57.285481323712595
1.690845335E8	59.606510320367185
1.773325595E8	59.84620429119485
1.855805855E8	59.816210972181025
1.938286115E8	50.51415107794974
2.020766375E8	59.19977147494616
2.103246635E8	57.34039040449725
2.185726895E8	58.41087762099571
2.268207155E8	58.50364822777541
2.350687415E8	58.63362426965113
2.433167675E8	48.859055954389596
2.481986015E8	52.30162948819543
2.523226145E8	58.7428632677569
2.598128195E8	59.1481758626146
2.680608455E8	59.790828475494564
2.763088715E8	57.81131184196645
2.845568975E8	56.65322222311204
2.928049235E8	46.94180208116666
3.010529495E8	57.37519297648185
3.093009755E8	59.749840925617434
3.175490015E8	59.85088038088484
3.257970275E8	55.20095513039525
3.340450535E8	57.60520510202619
3.422930795E8	59.784355816374884
3.505411055E8	59.90040732595874
3.587891315E8	59.794512374532594
3.670371575E8	57.676719538573714
3.752851835E8	58.20037547087799
3.810815205E8	58.11593011587681
3.852055335E8	46.201451175623205
3.917812355E8	58.53646139584945
4.000292615E8	58.14401126567596
4.082772875E8	56.70698381087279
4.165253135E8	59.82930033609704
4.247733395E8	59.801260798705236
4.330213655E8	52.627008784056926
4.412693915E8	57.79872102958456
4.495174175E8	59.27762761736058
4.577654435E8	59.68566424277034
4.660134695E8	59.80195427972023
4.742614955E8	52.65902531118148
4.825095215E8	59.78332848124486
4.907575475E8	58.61036922090439
4.990055735E8	57.617852524832855
5.072535995E8	59.145961422524216
5.146090395E8	59.48783589466953
5.178906245E8	3.151349201820335
5.187832105E8	55.77930729580221
5.237496515E8	53.80968132622224
5.319976775E8	51.89632925422291
5.402457035E8	59.70035468790507
5.484937295E8	56.96075999286978
5.567417555E8	59.00477845945169
5.649897815E8	59.72774701193252
5.732378075E8	58.53764886848144
5.814858335E8	59.30666611383496
5.897338595E8	59.78961602189297
5.979818855E8	59.77286728261352
6.062299115E8	59.029889624751576
6.144779375E8	59.6186069020218
6.227259635E8	59.19052268743608
6.309739895E8	59.88131044847845
6.392220155E8	57.388016034757776
6.4728106E8	55.70529972454314
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.02311647334821027
6.722141195E8	55.81647170514875
6.804621455E8	59.64222324323529
6.887101715E8	59.414820651593374
6.969581975E8	59.77957859442942
7.052062235E8	58.75654581708958
7.134542495E8	58.95953343029323
7.217022755E8	59.311605326793014
7.299503015E8	59.722719570647605
7.381983275E8	58.651589353598695
7.464463535E8	59.82018007691704
7.546943795E8	59.753771842987014
7.62199406E8	56.40807133575541
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	2.1365503725926644
7.876864835E8	44.26858778319829
7.959345095E8	59.748217451473614
8.041825355E8	59.29964195510234
8.124305615E8	59.579080229879104
8.206785875E8	59.81240119953807
8.289266135E8	59.320699759592834
8.371746395E8	59.32756401653717
8.454226655E8	59.833786547392705
8.536706915E8	57.97688044604163
8.619187175E8	49.85330720861498
8.69333434E8	52.21157202961918
8.72724992E8	22.556355926369555
8.72931433E8	30.287945194219013
8.731340445E8	36.11950384781622
8.73326804E8	33.34182849685589
8.73441596E8	32.66907565970355
8.73480431E8	36.37284063658164
8.735866135E8	19.414616768742455
8.73694888E8	13.764763494190191
8.74003757E8	0.0
8.784147695E8	0.0
8.866627955E8	44.208055227125364
8.949108215E8	24.943534976610668
9.031588475E8	28.020343391459097
9.114068735E8	58.17553906469589
9.196548995E8	54.52268863171044
9.279029255E8	59.76091282913031
9.361509515E8	58.63579672827002
9.443989775E8	55.41611873510857
9.526470035E8	57.59727273066726
9.608950295E8	55.99354235503181
9.691430555E8	59.78937207613467
9.744875075E8	57.01155568725141
9.759320705E8	0.0
9.788356445E8	55.39867525974871
9.856391075E8	59.56237557507319
9.938871335E8	41.5943875400635
1.0021351595E9	49.74253580250207
1.0103831855E9	52.50153966410228
1.0186312115E9	48.614961574855464
1.0268792375E9	59.71682523018779
1.0351272635E9	58.78277749283164
1.0433752895E9	56.57864452860872
1.0516233155E9	56.1594522587016
1.0598713415E9	55.89591450087599
1.065244947E9	59.140276113270254
1.067430919E9	7.003977502547348
1.0703053395E9	49.044514470119694
1.0763673935E9	55.94064076287317
1.0846154195E9	49.88750563691466
1.0928634455E9	52.760375167511036
1.1011114715E9	52.83045554590915
1.1093594975E9	53.0077930017069
1.1176075235E9	54.041799007185965
1.1258555495E9	57.71898717743494
1.1341035755E9	57.95672491214445
1.1423516015E9	58.83277744531683
1.149050177E9	55.091742645532634
1.151717535E9	4.138606694456231
1.15195075E9	22.822614855830818
1.152147445E9	18.541431903821998
1.1534636805E9	57.00901327648588
1.1588476535E9	59.68465333670206
1.1670956795E9	55.82434218835571
1.1753437055E9	58.49809715329038
1.1835917315E9	59.83236441772708
1.1918397575E9	59.75180843184712
1.2000877835E9	56.957324062697694
1.2083358095E9	59.74047353204516
1.2165838355E9	58.1751371066383
1.2248318615E9	59.53698173978694
1.23076644E9	53.91520817949809
1.234890453E9	58.23531256981998
1.2413279135E9	57.266772077033266
1.2495759395E9	56.26563236858814
1.2578239655E9	53.51427639836978
1.2660719915E9	57.6221964076967
1.2743200175E9	55.3616504717864
1.2825680435E9	58.69627214162381
1.288943339E9	55.080700598329365
1.291282149E9	23.58694413612941
1.2913856925E9	32.972612569515036
1.2914655495E9	32.895704681621105
1.2915628205E9	21.842260337108243
1.2916163385E9	28.157731844810435
1.2916575315E9	8.318673729585331
1.291766658E9	7.573495796328269
1.291875052E9	17.506789988505638
1.291916283E9	1.7832172069069978
1.293438612E9	53.407000882761636
1.2990640955E9	58.702330666757305
1.3073121215E9	59.64980837265241
1.3155601475E9	57.96990359313725
